index,베타값,대형주,중형주,코스피,time2,time3,time4,거래량,per,IT,"화학,소재",유틸리티,에너지,필수소비재,금융,헬스케어,전기차,건설업,"통신,방송","유통,의류",코로나와 IT,코로나와 전기차,코로나와 헬스케어,,,,,,,,,,,,,,,,,,
,1.308882561,1,0,0,1,0,0,116215.9516,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.01029154,1,0,0,0,1,0,374903.7724,291.2873356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.674492654,1,0,0,0,0,1,1510412.352,332.3482264,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
에코프로비엠,1.210166732,1,0,0,1,0,0,209679.5726,27.84022201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.165131903,1,0,0,0,1,0,458758.9106,26.07990604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.915898037,1,0,0,0,0,1,725603.104,32.05130375,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
,1.434728696,1,0,0,0,0,0,188675.8376,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
제넥신,1.434728696,1,0,0,0,0,0,188675.8376,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.512733304,1,0,0,1,0,0,126958.6532,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.228057853,1,0,0,0,1,0,212893.2033,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.976630954,1,0,0,0,0,1,1308314.712,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
CJ ENM,0.582003011,1,0,0,0,0,0,77830.38462,17.80693832,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.629284177,1,0,0,1,0,0,63955.56452,23.65458726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.792702521,1,0,0,0,1,0,105609.1707,26.25466645,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.0344938,1,0,0,0,0,1,145624.128,20.62216072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
케이엠더블유,1.11858352,1,0,0,0,0,0,147848.735,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.038710118,1,0,0,1,0,0,883471.8226,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.675384195,1,0,0,0,1,0,1158471.114,42.92622463,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
